#Disease_id Entrez_id
1 1586
3 3028
4 36
5 3284
6 3033
7 56922
7 64087
8 549
9 80207
10 9820
12 7172
13 2245
14 3106
15 1910
17 338
17 4547
18 6662
21 847
22 4193
24 8086
25 64327
26 1280
27 1836
28 2261
29 1261
29 2780
29 54714
30 3483
31 3757
32 2737
33 3549
34 55630
36 488
38 2778
38 6755
39 4882
39 8200
44 33
44 34
44 35
45 673
45 1956
45 2064
45 5071
46 324
47 324
47 4595
47 5324
49 100
50 158
52 9370
53 190
53 1584
53 1589
53 5447
54 5573
55 9095
56 215
56 5189
56 5192
56 5194
56 5830
56 55670
57 215
58 2651
59 8626
60 8864
61 2243
61 2244
63 695
63 3507
63 3543
63 56262
64 2628
65 9990
69 471
70 3458
70 3811
70 6387
71 182
72 4948
72 7299
72 7306
74 3356
75 2555
76 226
77 1585
78 1584
79 2670
79 4723
80 3081
82 6567
83 3596
85 55806
86 5428
87 12
88 89
90 38
91 23600
92 546
94 1285
94 1286
94 1287
95 7840
96 477
97 79058
98 2
98 323
98 348
98 351
98 642
98 1636
98 4353
98 4846
98 5328
98 5663
98 5664
98 22976
99 265
99 1747
99 9622
99 10117
100 8869
101 272
102 7276
103 335
103 351
103 2243
103 2934
103 4069
103 7276
104 1639
104 4744
104 5630
104 6647
104 9217
104 57679
105 213
107 4157
108 51128
109 367
110 22
110 212
110 4891
110 5313
110 6005
110 6223
110 6710
110 51251
110 146059
113 4204
113 7337
114 710
114 7512
115 4221
117 1636
118 3240
119 5080
121 3106
122 6657
124 3356
126 2138
126 2296
126 2301
126 5309
127 462
128 5447
129 6532
130 2200
131 2263
132 2255
133 3458
133 7012
133 7015
134 590
136 335
136 336
136 345
136 350
137 3291
138 358
139 26276
140 383
140 435
142 1588
143 1644
144 1832
144 5318
144 6262
146 7136
146 7140
146 7169
147 8838
150 175
151 54413
151 57502
153 154
153 240
153 2206
153 3176
153 3593
153 3596
153 5729
153 7124
153 7356
153 7941
153 51131
153 117156
153 387129
154 785
154 7274
154 23064
154 54840
154 85300
157 472
157 4361
160 1836
160 2317
162 3198
163 240
164 3566
164 6403
164 7941
164 11005
164 26762
165 7018
166 1482
166 2626
166 3784
166 4624
166 9992
167 55806
168 1482
168 2697
168 78987
171 1816
173 2739
173 4204
173 54413
173 57502
174 326
174 355
174 841
174 843
175 1815
177 2296
178 8287
178 50511
180 2304
182 5728
183 582
183 583
183 585
183 8195
183 55212
183 84100
183 123016
183 129880
184 4261
184 5993
184 5994
184 6891
184 6892
185 6901
186 2706
187 1187
187 1188
187 3758
187 6557
187 7809
188 5727
188 5921
188 6608
188 8643
190 605
191 3459
192 2263
193 1756
193 4618
194 1028
194 10984
194 64324
194 283120
195 1728
196 2811
196 2812
196 2815
197 3115
198 154
199 51733
200 1291
200 1292
200 1293
201 285440
202 6555
203 686
204 7494
205 201163
207 2261
207 3265
207 3845
207 5925
208 64127
209 5023
209 6915
210 668
211 1816
212 28
212 43
212 358
212 360
212 420
212 682
212 960
212 1378
212 1604
212 2525
212 2651
212 2993
212 2994
212 2995
212 3386
212 3792
212 4059
212 6006
212 6521
212 6563
212 7499
212 8706
212 53947
213 641
214 2652
214 5956
216 2523
216 2524
217 4041
218 84295
220 3198
221 6017
224 658
224 3239
224 3549
224 4920
224 8200
225 8787
225 342880
226 2138
228 367
228 472
228 580
228 672
228 675
228 999
228 3845
228 5002
228 5245
228 5290
228 5888
228 7157
228 7251
228 7517
228 8438
228 8493
228 9821
228 11200
228 83990
231 487
233 5352
234 6331
235 4128
237 4609
238 23592
239 5961
240 712
240 713
240 714
240 716
240 717
240 718
240 720
240 721
240 729
240 730
240 732
240 735
240 3426
252 4292
252 4436
253 1277
254 2591
254 8074
255 6662
256 10216
257 7040
258 443
259 2264
259 2956
261 5921
262 1373
263 4247
263 4351
263 5373
264 1369
265 6392
267 9997
268 70
268 859
268 1355
268 1674
268 1756
268 2070
268 4000
268 4607
268 4624
268 4625
268 4633
268 4634
268 5350
268 6444
268 6901
268 7134
268 7137
268 7139
268 7168
268 7273
268 8048
268 8557
268 10060
268 51422
268 85366
269 4626
269 5573
271 788
272 6584
275 7276
276 6023
277 1409
277 1410
277 1411
277 1414
277 1415
277 1420
277 1421
277 2700
277 2703
277 3299
277 3982
277 4284
277 5080
277 5309
277 8419
279 889
283 966
284 925
287 627
287 1908
287 2668
287 5979
287 8929
289 773
289 1356
291 19
291 1471
292 2068
292 2073
292 2074
293 1593
294 12
295 5538
296 1200
296 1201
296 1203
296 2055
296 5538
296 54982
298 2261
299 1071
300 51099
301 1785
301 1959
301 2617
301 2705
301 3236
301 3315
301 4359
301 4747
301 5376
301 7879
301 8898
301 9516
301 9927
301 10397
301 23095
301 54332
301 79628
301 81846
302 55636
303 7021
304 1130
305 6452
306 50814
307 1118
308 1811
309 5244
310 5205
310 5244
310 8647
310 80270
313 3988
314 56172
315 415
315 8443
315 10682
316 2130
316 2131
316 8013
318 7080
319 23230
320 7080
323 1121
326 85358
327 1535
327 1536
327 4687
327 4688
328 546
329 4023
330 51128
331 1767
331 27019
332 114548
334 3856
334 3875
334 84916
335 445
335 10165
336 4487
336 5818
336 50945
337 860
338 4693
339 1161
339 2074
340 1565
341 6197
342 157680
343 5243
344 114548
345 5080
345 6469
346 324
346 581
346 595
346 673
346 699
346 701
346 1499
346 1630
346 2033
346 2261
346 2956
346 4163
346 4292
346 4436
346 4595
346 4893
346 4953
346 5157
346 5290
346 5320
346 5378
346 5395
346 5782
346 5795
346 6714
346 7048
346 7157
346 8313
346 8438
346 8915
346 10395
346 25788
346 27030
346 201163
347 5979
348 611
348 2652
348 5956
350 3998
351 4726
351 91647
352 24
352 1406
352 2978
352 3000
352 6103
352 23746
352 57096
354 1798
354 2683
354 8813
354 9526
354 10195
354 29929
354 55343
354 56052
354 79053
354 79087
354 79796
354 85365
354 91949
355 152
355 153
356 5340
357 6899
358 2201
359 84059
360 4312
361 1371
362 335
362 1296
362 4070
362 7045
362 11081
362 30813
362 200576
364 25836
365 19
365 4205
365 4314
365 5444
365 5445
365 9365
366 3476
367 2908
368 3290
368 9563
369 3265
370 1548
372 657
372 5728
374 1374
374 1376
376 6329
377 30813
378 5077
379 2263
380 1947
382 56172
383 2263
383 4488
384 3897
385 859
388 3119
388 5621
389 54658
390 9231
390 64127
391 2261
391 2263
392 3640
392 122042
394 3110
395 538
395 2006
395 10516
396 3848
397 1540
398 1491
399 1080
400 1497
401 6519
401 11136
402 257054
404 488
405 3295
406 71
406 182
406 491
406 1302
406 1428
406 1678
406 1687
406 1690
406 1729
406 1834
406 2070
406 2706
406 2707
406 4627
406 4640
406 4646
406 4647
406 5172
406 5456
406 5459
406 7007
406 9132
406 9381
406 10083
406 10804
406 23562
406 25861
406 51168
406 53904
406 57214
406 64072
406 64699
406 65217
406 79784
406 79977
406 83715
406 117531
406 146183
406 161497
406 259236
406 375611
407 1565
410 1959
410 4359
410 5376
410 57716
411 15
412 4137
412 5663
412 6620
412 6622
412 7124
412 9445
413 30835
414 860
415 1822
416 1184
416 4952
417 1834
418 1834
420 7490
422 5155
424 2074
425 324
426 1718
427 208
427 1636
427 2642
427 2645
427 2820
427 3172
427 3643
427 3651
427 3667
427 3767
427 4760
427 5167
427 5468
427 6514
427 6517
427 6833
427 6927
427 6928
427 7422
427 8660
427 9479
427 11132
427 26191
427 50943
427 56729
427 256297
427 387082
430 1836
432 6899
433 1807
434 1832
435 29958
438 5447
439 1277
440 7150
440 7153
441 1621
443 190
444 55997
445 4548
446 2202
447 2166
449 57167
450 1244
451 1756
452 54808
453 213
454 8518
455 103
456 2623
457 2243
457 2244
457 2266
458 1736
458 7012
459 9856
459 161582
460 2147
461 3339
462 478
462 1813
462 1816
462 1861
462 2643
462 8910
463 7276
465 1294
466 1896
466 4792
466 5317
466 5818
466 8517
466 10804
466 10913
466 128178
467 2200
467 5080
468 8626
470 1277
470 1278
470 1281
470 1289
470 1290
470 5351
470 7148
470 9509
470 11285
471 89
472 2035
472 6521
472 6708
472 6710
473 2121
473 132884
474 2010
474 4000
475 5265
476 1352
476 5274
477 5745
479 999
479 2956
479 4437
479 5728
481 7099
482 8292
483 10002
484 5172
485 2027
487 5651
491 8288
492 11322
492 147138
493 1294
493 1308
493 1832
493 3655
493 3691
493 3852
493 3861
493 3909
493 3914
493 3918
493 5339
494 3848
494 3857
494 3858
495 785
495 1137
495 1141
495 1181
495 1476
495 2554
495 2566
495 3785
495 3786
495 4200
495 6323
495 6853
495 7957
495 8629
495 9211
495 79751
495 378884
496 1297
496 1298
496 1299
496 1311
496 1836
496 4148
497 773
497 3736
498 4978
500 4627
502 6335
504 3039
504 3043
505 2057
505 3040
507 2707
507 4014
507 127534
508 6049
508 7048
508 11178
508 51741
509 2099
510 23474
511 2130
512 3939
514 2131
514 2132
515 4041
515 4693
515 8322
516 5080
517 29881
518 2717
519 2489
520 2155
520 2159
520 2160
520 2161
520 2162
520 2165
520 3075
520 90411
522 4210
523 675
523 2175
523 2176
523 2177
523 2178
523 2187
523 2188
523 2189
523 55120
523 57697
523 83990
524 6514
526 427
527 3030
528 2539
530 4627
531 4613
532 2798
535 6690
537 6654
537 118429
538 401
538 55605
539 8200
540 3931
541 2328
542 3827
544 1806
545 7248
546 2488
547 6997
548 5080
549 5961
550 2332
551 80144
551 341640
552 7490
553 2395
554 2316
555 2203
556 229
557 3795
558 1296
559 2517
560 2528
561 2271
562 24
562 5959
562 6017
563 2539
564 18
565 2584
566 2582
567 2592
568 5476
570 2593
571 324
572 324
572 843
572 999
572 1316
572 2064
572 2263
572 3553
572 3557
572 3659
572 4595
574 3815
574 5156
575 2629
575 5660
576 64221
578 3778
578 6324
580 3815
580 8915
581 5621
582 8139
583 5155
584 2812
586 54658
587 6559
588 3674
588 3690
589 1545
589 4653
589 4976
589 10133
590 1755
590 2064
590 4436
590 5468
590 9211
594 6928
596 81
596 7225
596 23607
597 11146
598 4158
598 56246
599 6523
600 6513
601 7841
602 10841
603 2108
603 2109
603 2110
603 2639
604 2937
607 2710
608 275
608 2653
608 2731
608 27232
609 5256
609 5261
610 178
610 2538
610 2542
610 2548
610 2632
610 2998
610 3920
610 5213
610 5836
614 2720
614 2760
614 3073
615 203859
617 7038
617 7173
618 26128
619 6736
619 50846
622 617
623 3586
624 1493
624 2638
625 3930
626 2737
627 4644
627 5873
627 79083
628 2692
628 6777
630 3209
632 4942
633 27032
634 1075
638 3209
639 1371
640 80025
641 340024
643 8626
644 19
644 2099
646 7466
647 6331
648 3039
648 3040
648 3043
649 3030
650 7428
651 2324
651 3791
652 1991
653 1286
654 3162
656 773
657 3077
657 7036
657 30061
657 57817
657 148738
659 3040
660 203
660 669
660 2539
660 2729
660 2821
660 2937
660 3098
660 5230
660 6521
660 7167
661 3075
662 5551
662 201294
663 2157
663 2158
664 2153
664 5265
665 1356
666 6341
668 841
668 1499
668 3482
668 4233
668 5157
668 6927
668 7157
668 8312
669 94
669 2022
670 3257
670 8546
670 11234
670 79803
670 84062
670 84343
670 89781
675 7547
675 55997
676 2316
677 3073
679 3827
681 1889
681 1908
681 1910
681 2668
681 4902
681 5979
681 8929
682 3034
683 7157
684 1231
684 1234
684 3586
684 6352
686 3155
686 3158
688 3141
689 5727
689 6469
689 6496
689 7050
689 7546
696 6910
697 1491
698 875
698 4524
699 4552
701 6519
702 1736
703 3043
703 3047
703 3048
704 3251
705 3459
708 3064
708 5621
708 6908
708 57338
710 118429
712 3897
716 1071
717 5832
718 1589
719 5465
720 54658
721 55811
723 570
723 2052
723 9414
724 336
724 338
724 2053
724 3700
724 3949
724 10842
724 26119
724 255738
725 2741
725 2743
726 5156
727 2512
728 4598
731 2645
732 2746
733 6329
734 889
736 7391
737 344
737 348
738 10157
739 191
739 4143
740 10166
741 4041
742 189
742 9380
743 846
743 4221
743 79577
746 5053
746 5092
748 3630
749 5625
749 8659
750 5972
751 2147
752 118
752 183
752 185
752 1577
752 1889
752 2784
752 3291
752 3779
752 4306
752 4846
752 5740
752 56729
754 7253
755 7173
757 335
757 6101
757 116519
757 149998
758 1080
759 7369
761 1585
762 335
763 338
764 846
765 846
766 1356
767 2261
768 3040
769 4487
769 5083
770 2266
771 29760
772 6833
773 3972
774 2798
774 3973
774 26012
774 84634
775 3240
776 779
776 6329
776 10008
777 3938
777 4175
778 486
778 10686
778 140803
779 5741
779 9247
780 6905
781 2625
782 249
783 1184
783 5251
784 8074
785 10117
786 2147
787 1493
787 6528
787 7038
787 7252
787 7253
787 7849
787 50506
788 1001
788 1041
788 54345
788 147409
791 116085
792 2706
793 242
793 7051
793 59344
794 412
794 3848
794 3849
794 3858
794 7051
794 26154
794 348938
795 29851
797 51131
798 3501
799 2209
801 1789
802 916
802 917
802 958
802 959
802 7374
802 57379
803 50943
804 23495
805 4620
805 7415
805 10020
806 8517
807 170302
809 6658
810 3704
811 4914
812 2562
812 5621
814 5468
814 5506
814 5770
816 3559
817 1298
817 1299
819 3480
819 3481
820 2694
821 51135
822 2296
822 5308
823 2296
824 2495
824 7018
825 2688
826 3712
827 2260
827 2263
829 1678
830 3753
830 3784
831 4867
831 54806
832 546
833 4089
835 3816
836 2260
836 3730
837 4668
838 3569
839 3514
840 1767
840 8701
840 27019
841 6905
842 5080
843 2706
844 30813
845 2706
847 1828
847 1832
847 3848
847 6303
848 5019
849 4256
850 55612
851 3827
853 55109
854 1280
855 80781
